País da empresa,Localização da empresa,Estado,Cidade,Cidade_empresa,Estado_empresa,Localizacao_empresa_padronizada,Cidade_empresa_padronizada,Estado_empresa_padronizada,Pais_empresa_padronizada,Pais_consistente
France,"Paris, Île-de-France, France",Île-de-France,St.-Maur-des-Fossés,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Münster, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Münster,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Aachen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Grevenbroich,Aachen,North Rhine-Westphalia,"Aachen, Renânia Do Norte-Vestfália, Alemanha",Aachen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Meerbusch, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Meerbusch,North Rhine-Westphalia,"Meerbusch, Renânia Do Norte-Vestfália, Alemanha",Meerbusch,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Portugal,"Oeiras, Lisbon, Portugal",Lisbon,Oeiras,Oeiras,Lisbon,"Oeiras, Lisboa, Portugal",Oeiras,Lisboa,Portugal,Portugal
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Kelkheim, Hesse, Germany",,,Kelkheim,Hesse,"Kelkheim, Hessen, Alemanha",Kelkheim,Hessen,Alemanha,Alemanha
France,"Massy, Île-de-France, France",Île-de-France,Massy,Massy,Île-de-France,"Massy, Ilha De França, França",Massy,Ilha De França,França,França
Germany,"St. Ingbert, Saarland, Germany",,,St. Ingbert,Saarland,"St. Ingbert, Saarland, Alemanha",St. Ingbert,Saarland,Alemanha,Alemanha
Germany,"Isernhagen Farster Bauerschaft, Lower Saxony, Germany",,,Isernhagen Farster Bauerschaft,Lower Saxony,"Isernhagen Farster Bauerschaft, Lower Saxony, Alemanha",Isernhagen Farster Bauerschaft,Lower Saxony,Alemanha,Alemanha
Germany,"Dresden, Saxony, Germany",,,Dresden,Saxony,"Dresden, Saxony, Alemanha",Dresden,Saxony,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,Milton Keynes,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Acton,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Portugal,"Cascais, Lisbon, Portugal",Lisbon,Lisboa,Cascais,Lisbon,"Cascais, Lisboa, Portugal",Cascais,Lisboa,Portugal,Portugal
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,Paris Area,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Munich, Bavaria, Germany",,Bavière,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
United Kingdom,"Staines-Upon-Thames, England, United Kingdom",England,Cottenham,Staines-Upon-Thames,England,"Staines-Upon-Thames, Inglaterra, Reino Unido",Staines-Upon-Thames,Inglaterra,Reino Unido,Reino Unido
Estonia,"Tallinn, Harjumaa, Estonia",,,Tallinn,Harjumaa,"Tallinn, Harjumaa, Estonia",Tallinn,Harjumaa,Estonia,Estonia
Germany,"Freiburg, Baden-Württemberg, Germany",,,Freiburg,Baden-Württemberg,"Freiburg, Baden-Württemberg, Alemanha",Freiburg,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hamburg, Hamburg, Germany",,,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Düsseldorf, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Düsseldorf,North Rhine-Westphalia,"Düsseldorf, Renânia Do Norte-Vestfália, Alemanha",Düsseldorf,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Langenfeld, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Langenfeld,Langenfeld,North Rhine-Westphalia,"Langenfeld, Renânia Do Norte-Vestfália, Alemanha",Langenfeld,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Langenfeld, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Langenfeld,Langenfeld,North Rhine-Westphalia,"Langenfeld, Renânia Do Norte-Vestfália, Alemanha",Langenfeld,Renânia Do Norte-Vestfália,Alemanha,Alemanha
France,"Toulouse, Occitanie, France",Occitanie,Toulouse,Toulouse,Occitanie,"Toulouse, Occitanie, França",Toulouse,Occitanie,França,França
France,"Nantes, Pays de la Loire, France",,,Nantes,Pays de la Loire,"Nantes, Pays De La Loire, França",Nantes,Pays De La Loire,França,França
Poland,"Gliwice, Śląskie, Poland",Pomorskie,Gdynia,Gliwice,Śląskie,"Gliwice, Śląskie, Polônia",Gliwice,Śląskie,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",England,Tadley,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Bagneux, Île-de-France, France",,,Bagneux,Île-de-France,"Bagneux, Ilha De França, França",Bagneux,Ilha De França,França,França
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,Kippax,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Warsaw, Mazowieckie, Poland",Wielkopolskie,Poznań,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Spain,"Bilbao, Basque Country, Spain",Basque Country,Bilbao,Bilbao,Basque Country,"Bilbao, Basque Country, Espanha",Bilbao,Basque Country,Espanha,Espanha
Germany,"Stuttgart, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Germany,"Stuttgart, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Spain,"Madrid, Community of Madrid, Spain",Community of Madrid,Madrid,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
United Arab Emirates,"Dubai, Dubai, United Arab Emirates",,Dubai,Dubai,Dubai,"Dubai, Dubai, United Arab Emirates",Dubai,Dubai,United Arab Emirates,United Arab Emirates
Germany,"Freiburg, Baden-Württemberg, Germany",Baden-Württemberg,Freiburg,Freiburg,Baden-Württemberg,"Freiburg, Baden-Württemberg, Alemanha",Freiburg,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Courbevoie, Île-de-France, France",,,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Portugal,"Lisbon, Lisbon, Portugal",Setúbal,Almada,Lisbon,Lisbon,"Lisbon, Lisboa, Portugal",Lisbon,Lisboa,Portugal,Portugal
Germany,"Straubing, Bavaria, Germany",Bavaria,Herzogenaurach,Straubing,Bavaria,"Straubing, Baviera, Alemanha",Straubing,Baviera,Alemanha,Alemanha
Germany,"Eschborn, Hesse, Germany",,,Eschborn,Hesse,"Eschborn, Hessen, Alemanha",Eschborn,Hessen,Alemanha,Alemanha
Germany,"Fulda, Hesse, Germany",Hesse,Fulda,Fulda,Hesse,"Fulda, Hessen, Alemanha",Fulda,Hessen,Alemanha,Alemanha
Germany,"Fulda, Hesse, Germany",Hesse,Fulda,Fulda,Hesse,"Fulda, Hessen, Alemanha",Fulda,Hessen,Alemanha,Alemanha
Germany,"Leipzig, Saxony, Germany",Saxony,Leipzig,Leipzig,Saxony,"Leipzig, Saxony, Alemanha",Leipzig,Saxony,Alemanha,Alemanha
France,"Paris, Île-de-France, France",England,Slough,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Belgium,"Brussels, Brussels Region, Belgium",Walloon Region,Liège,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
Germany,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
France,"Paris, Île-de-France, France",Algiers,Burj Al Kifan,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Spain,"Àrea Metropolitana de Barcelona, Catalonia, Spain",Catalonia,Barcelona,Àrea Metropolitana de Barcelona,Catalonia,"Àrea Metropolitana De Barcelona, Catalunha, Espanha",Àrea Metropolitana De Barcelona,Catalunha,Espanha,Espanha
Germany,"Limburg an der Lahn, Hesse, Germany",Hesse,Weilburg,Limburg an der Lahn,Hesse,"Limburg An Der Lahn, Hessen, Alemanha",Limburg An Der Lahn,Hessen,Alemanha,Alemanha
Germany,"Echterdingen, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Echterdingen,Baden-Württemberg,"Echterdingen, Baden-Württemberg, Alemanha",Echterdingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Aachen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Aachen,Aachen,North Rhine-Westphalia,"Aachen, Renânia Do Norte-Vestfália, Alemanha",Aachen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Chanteloup-les-Vignes,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Spain,"Madrid, Community of Madrid, Spain",,,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
Spain,"Madrid, Community of Madrid, Spain",Community of Madrid,Madrid,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
United Kingdom,"London, England, United Kingdom",England,Bourne,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Sutton Coldfield,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hargesheim, Rheinland-Pfalz",Rhineland-Palatinate,Alzey,Hargesheim,Rheinland-Pfalz,"Hargesheim, Rheinland-Pfalz",Hargesheim,,Rheinland-Pfalz,Rheinland-Pfalz
Germany,"Hildesheim, Lower Saxony, Germany",Lower Saxony,Bad Salzdetfurth,Hildesheim,Lower Saxony,"Hildesheim, Lower Saxony, Alemanha",Hildesheim,Lower Saxony,Alemanha,Alemanha
Spain,"El Masnou, Catalonia, Spain",,,El Masnou,Catalonia,"El Masnou, Catalunha, Espanha",El Masnou,Catalunha,Espanha,Espanha
United Kingdom,"London Colney, England, United Kingdom",Lisbon,Lisbon,London Colney,England,"London Colney, Inglaterra, Reino Unido",London Colney,Inglaterra,Reino Unido,Reino Unido
France,"Bordeaux, Nouvelle-Aquitaine, France",Nouvelle-Aquitaine,Bordeaux,Bordeaux,Nouvelle-Aquitaine,"Bordeaux, Nouvelle-Aquitaine, França",Bordeaux,Nouvelle-Aquitaine,França,França
Spain,"Tarragona, Catalonia, Spain",Community of Madrid,Madrid,Tarragona,Catalonia,"Tarragona, Catalunha, Espanha",Tarragona,Catalunha,Espanha,Espanha
Spain,"Madrid, Community of Madrid, Spain",São Paulo,São Paulo,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
Spain,"Madrid, Community of Madrid, Spain",São Paulo,São Paulo,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,Sliema,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Spain,"Madrid, Community of Madrid, Spain",England,Sittingbourne,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
Germany,"Bremen, Bremen",,,Bremen,Bremen,"Bremen, Bremen",Bremen,,Bremen,Bremen
France,"St.-Denis, Île-de-France, France",,Paris Area,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Île-de-France,Aulnay-sous-Bois,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Île-de-France,Aulnay-sous-Bois,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Cataluña,Barcelona,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,France,,,France,,France,France,,,
Belgium,"Brussels, Brussels Region, Belgium",,,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
Lithuania,"Vilnius, Vilniaus, Lithuania",Madrid,Madrid,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
France,France,Bavière,Nuremberg,France,,France,France,,,
Lithuania,"Vilnius, Vilniaus, Lithuania",West Java,Bogor,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
France,"Ramonville-Saint-Agne, Occitanie, France",,,Ramonville-Saint-Agne,Occitanie,"Ramonville-Saint-Agne, Occitanie, França",Ramonville-Saint-Agne,Occitanie,França,França
France,"Roubaix, Hauts-de-France, France",,,Roubaix,Hauts-de-France,"Roubaix, Hauts-De-France, França",Roubaix,Hauts-De-France,França,França
Germany,"Bühl, Baden-Württemberg, Germany",,,Bühl,Baden-Württemberg,"Bühl, Baden-Württemberg, Alemanha",Bühl,Baden-Württemberg,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",Maribor,Maribor,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",Île-de-France,Montmorency,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Brazil,"São Paulo, São Paulo, Brazil",Catalonia,Barcelona,São Paulo,São Paulo,"São Paulo, São Paulo, Brasil",São Paulo,São Paulo,Brasil,Brasil
Brazil,"São Paulo, São Paulo, Brazil",Catalonia,Barcelona,São Paulo,São Paulo,"São Paulo, São Paulo, Brasil",São Paulo,São Paulo,Brasil,Brasil
Germany,"Berlin, Berlin, Germany",Madhya Pradesh,Indore,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
France,"Saint-Herblain, Pays de la Loire, France",Pays de la Loire,Nantes,Saint-Herblain,Pays de la Loire,"Saint-Herblain, Pays De La Loire, França",Saint-Herblain,Pays De La Loire,França,França
Germany,"Gerlingen, Baden-Württemberg, Germany",,,Gerlingen,Baden-Württemberg,"Gerlingen, Baden-Württemberg, Alemanha",Gerlingen,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",Kanagawa,Yokohama,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Ireland,"Dublin, County Dublin, Ireland",,,Dublin,County Dublin,"Dublin, County Dublin, Irlanda",Dublin,County Dublin,Irlanda,Irlanda
Ireland,"Dublin, County Dublin, Ireland",Scotland,Longridge,Dublin,County Dublin,"Dublin, County Dublin, Irlanda",Dublin,County Dublin,Irlanda,Irlanda
France,"St.-Denis, Île-de-France, France",Flemish Region,Landen,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",,,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
Belgium,"Brussels, Brussels Region, Belgium",,Brussels Region,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
France,"Boulogne-Billancourt, Île-de-France, France",Walloon Region,Charleroi,Boulogne-Billancourt,Île-de-France,"Boulogne-Billancourt, Ilha De França, França",Boulogne-Billancourt,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
United Kingdom,"Northampton, England, United Kingdom",,Greater Northampton Area,Northampton,England,"Northampton, Inglaterra, Reino Unido",Northampton,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",Grand Est,Nancy,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Issy-les-Moulineaux, Île-de-France, France",Île-de-France,Paris,Issy-les-Moulineaux,Île-de-France,"Issy-Les-Moulineaux, Ilha De França, França",Issy-Les-Moulineaux,Ilha De França,França,França
Belgium,"Gembloux, Walloon Region, Belgium",,,Gembloux,Walloon Region,"Gembloux, Walloon Region, Bélgica",Gembloux,Walloon Region,Bélgica,Bélgica
France,"Courbevoie, Île-de-France, France",Auvergne-Rhône-Alpes,Voiron,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
Germany,"Leverkusen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Leverkusen,North Rhine-Westphalia,"Leverkusen, Renânia Do Norte-Vestfália, Alemanha",Leverkusen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"Whittington, England, United Kingdom",England,Worcester City,Whittington,England,"Whittington, Inglaterra, Reino Unido",Whittington,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"Whittington, England, United Kingdom",England,Worcester City,Whittington,England,"Whittington, Inglaterra, Reino Unido",Whittington,Inglaterra,Reino Unido,Reino Unido
France,"Courbevoie, Île-de-France, France",,,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Valbonne, Provence-Alpes-Côte d'Azur, France",,,Valbonne,Provence-Alpes-Côte d'Azur,"Valbonne, Provence-Alpes-Côte D'Azur, França",Valbonne,Provence-Alpes-Côte D'Azur,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Bruges, Nouvelle-Aquitaine, France",Nouvelle-Aquitaine,Bordeaux,Bruges,Nouvelle-Aquitaine,"Bruges, Nouvelle-Aquitaine, França",Bruges,Nouvelle-Aquitaine,França,França
France,"Neuilly-sur-Seine, Île-de-France, France",,,Neuilly-sur-Seine,Île-de-France,"Neuilly-Sur-Seine, Ilha De França, França",Neuilly-Sur-Seine,Ilha De França,França,França
Germany,"Munich, Bavaria, Germany",Porto,Porto,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Spain,"Vaciamadrid, Community of Madrid, Spain",,,Vaciamadrid,Community of Madrid,"Vaciamadrid, Comunidade De Madrid, Espanha",Vaciamadrid,Comunidade De Madrid,Espanha,Espanha
United Kingdom,"Greater London, England, United Kingdom",,Riga,Greater London,England,"Greater London, Inglaterra, Reino Unido",Greater London,Inglaterra,Reino Unido,Reino Unido
Germany,"Sonnenberg, Brandenburg, Germany",,,Sonnenberg,Brandenburg,"Sonnenberg, Brandenburg, Alemanha",Sonnenberg,Brandenburg,Alemanha,Alemanha
Germany,"Frankfurt, Hesse, Germany",,Cluj,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Germany,"Bremen, Bremen, Germany",,,Bremen,Bremen,"Bremen, Bremen, Alemanha",Bremen,Bremen,Alemanha,Alemanha
France,"St.-Denis, Île-de-France, France",Catalonia,Barcelona,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Derby,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Regensburg, Bavaria, Germany",Bavaria,Plattling,Regensburg,Bavaria,"Regensburg, Baviera, Alemanha",Regensburg,Baviera,Alemanha,Alemanha
Germany,"Regensburg, Bavaria, Germany",Bavaria,Plattling,Regensburg,Bavaria,"Regensburg, Baviera, Alemanha",Regensburg,Baviera,Alemanha,Alemanha
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Germany,"Dresden, Saxony, Germany",Saxony,Dresden,Dresden,Saxony,"Dresden, Saxony, Alemanha",Dresden,Saxony,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"Reading, England, United Kingdom",England,Bromley,Reading,England,"Reading, Inglaterra, Reino Unido",Reading,Inglaterra,Reino Unido,Reino Unido
Poland,"Cracow, Małopolskie, Poland",,,Cracow,Małopolskie,"Cracow, Pequena Polônia, Polônia",Cracow,Pequena Polônia,Polônia,Polônia
Germany,"Gerlingen, Baden-Württemberg, Germany",,,Gerlingen,Baden-Württemberg,"Gerlingen, Baden-Württemberg, Alemanha",Gerlingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Marburg an der Lahn, Hesse, Germany",Hesse,Marburg an der Lahn,Marburg an der Lahn,Hesse,"Marburg An Der Lahn, Hessen, Alemanha",Marburg An Der Lahn,Hessen,Alemanha,Alemanha
Germany,"Eschborn, Hesse, Germany",,,Eschborn,Hesse,"Eschborn, Hessen, Alemanha",Eschborn,Hessen,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",Nevada,Reno,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Wrocław, Dolnośląskie, Poland",,,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Poland,"Wrocław, Dolnośląskie, Poland",,,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Levallois-Perret, Île-de-France, France",Île-de-France,Paris,Levallois-Perret,Île-de-France,"Levallois-Perret, Ilha De França, França",Levallois-Perret,Ilha De França,França,França
France,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",,,Aix-en-Provence,Provence-Alpes-Côte d'Azur,"Aix-En-Provence, Provence-Alpes-Côte D'Azur, França",Aix-En-Provence,Provence-Alpes-Côte D'Azur,França,França
France,"Bruges, Nouvelle-Aquitaine, France",,,Bruges,Nouvelle-Aquitaine,"Bruges, Nouvelle-Aquitaine, França",Bruges,Nouvelle-Aquitaine,França,França
France,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Auvergne-Rhône-Alpes,Lyon,Aix-en-Provence,Provence-Alpes-Côte d'Azur,"Aix-En-Provence, Provence-Alpes-Côte D'Azur, França",Aix-En-Provence,Provence-Alpes-Côte D'Azur,França,França
France,"Chémery, Centre-Val de Loire, France",,Bourgogne-Franche-Comté,Chémery,Centre-Val de Loire,"Chémery, Centre-Val De Loire, França",Chémery,Centre-Val De Loire,França,França
Poland,"Poznan, Wielkopolskie, Poland",Mazowieckie,Warsaw,Poznan,Wielkopolskie,"Poznan, Wielkopolskie, Polônia",Poznan,Wielkopolskie,Polônia,Polônia
Poland,"Łódź, Łódzkie, Poland",,,Łódź,Łódzkie,"Łódź, Łódzkie, Polônia",Łódź,Łódzkie,Polônia,Polônia
France,"Paris, Île-de-France, France",Baden-Württemberg,Stuttgart,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Metz, Grand Est, France",Grand Est,Metz,Metz,Grand Est,"Metz, Grand Est, França",Metz,Grand Est,França,França
France,"Metz, Grand Est, France",Grand Est,Metz,Metz,Grand Est,"Metz, Grand Est, França",Metz,Grand Est,França,França
Germany,"Hallstadt, Bavaria, Germany",Bavaria,Bamberg,Hallstadt,Bavaria,"Hallstadt, Baviera, Alemanha",Hallstadt,Baviera,Alemanha,Alemanha
Germany,"Hallstadt, Bavaria, Germany",Bavaria,Bamberg,Hallstadt,Bavaria,"Hallstadt, Baviera, Alemanha",Hallstadt,Baviera,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",North Rhine-Westphalia,Dortmund,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
